,Vdrive,X,Y,endTime,freq,sensitivity,startTime
0,1.5,3.33787741667e-06,7.94736208333e-07,1542852335.36,2.0,0.05,1542852328.39
1,1.5,-8.26521858333e-06,1.30336229167e-05,1542852341.86,2.1,0.05,1542852335.38
2,1.5,1.54972935833e-05,-9.93416454167e-06,1542852348.91,2.2,0.05,1542852341.87
3,1.5,2.62262120833e-06,3.17895791667e-07,1542852355.85,2.3,0.05,1542852348.91
4,1.5,-1.24773089583e-05,3.57630166667e-06,1542852363.2,2.4,0.05,1542852355.85
5,1.5,-7.152596875e-06,-1.22388860833e-05,1542852369.89,2.5,0.05,1542852363.2
6,1.5,-9.53679791667e-07,6.75523633333e-06,1542852376.85,2.6,0.05,1542852369.9
7,1.5,-9.85469470833e-06,-1.0172581e-05,1542852383.92,2.7,0.05,1542852376.85
8,1.5,-2.940515125e-06,-7.311547125e-06,1542852390.84,2.8,0.05,1542852383.93
9,1.5,-1.6689345e-06,-3.97366958333e-06,1542852397.92,2.9,0.05,1542852390.84
10,1.5,-1.35104945833e-06,1.827885125e-06,1542852404.84,3.0,0.05,1542852397.93
0,1.5,-2.4636755e-06,-3.25840820833e-06,1542852411.85,3.1,0.05,1542852404.86
1,1.5,-6.99365891667e-06,6.11944345833e-06,1542852418.85,3.2,0.05,1542852411.85
2,1.5,-1.0887837e-05,2.225247e-06,1542852425.89,3.3,0.05,1542852418.85
3,1.5,-1.748415625e-06,-1.18415281667e-05,1542852432.87,3.4,0.05,1542852425.9
4,1.5,-3.41735595833e-06,7.708914e-06,1542852439.87,3.5,0.05,1542852432.87
5,1.5,3.65576966667e-06,-1.58946958333e-07,1542852446.91,3.6,0.05,1542852439.87
6,1.5,5.56313045833e-06,-8.18575670833e-06,1542852453.85,3.7,0.05,1542852446.91
7,1.5,6.25613636e-06,-1.83106692e-06,1542852460.93,3.8,0.05,1542852453.86
8,1.5,-5.086285e-06,-1.58948416667e-07,1542852467.84,3.9,0.05,1542852460.93
9,1.5,-9.00273196e-06,7.63004e-08,1542852474.85,4.0,0.05,1542852467.85
0,1.5,-1.93120191667e-05,-2.94051354167e-06,1542852481.85,4.1,0.05,1542852474.85
1,1.5,1.88351704167e-05,-1.81993916667e-05,1542852489.3,4.2,0.05,1542852481.86
2,1.5,-1.3192572875e-05,-1.81993820833e-05,1542852495.85,4.3,0.05,1542852489.3
3,1.5,-7.07312525e-06,-3.02793130417e-05,1542852502.9,4.4,0.05,1542852495.85
4,1.5,-1.20799411667e-05,-1.5815172125e-05,1542852509.87,4.5,0.05,1542852502.9
5,1.5,-4.6889215e-06,-1.26362494583e-05,1542852516.86,4.6,0.05,1542852509.88
6,1.5,-1.32720412917e-05,-6.914180125e-06,1542852523.88,4.7,0.05,1542852516.87
7,1.5,-1.1126267875e-05,-1.5815187375e-05,1542852530.89,4.8,0.05,1542852523.88
8,1.5,-9.69575029167e-06,-1.58946916667e-07,1542852537.94,4.9,0.05,1542852530.89
9,1.5,-1.35104672083e-05,-9.69574333333e-06,1542852544.85,5.0,0.05,1542852537.95
0,1.5,-2.36035775e-05,-5.80155329167e-06,1542852551.96,5.1,0.05,1542852544.86
1,1.5,-2.972302e-05,-1.446414575e-05,1542852558.87,5.2,0.05,1542852551.96
2,1.5,-4.97502420833e-05,3.89419195833e-06,1542852565.91,5.3,0.05,1542852558.88
3,1.5,-7.065184e-05,4.22797933333e-05,1542852572.84,5.4,0.05,1542852565.91
4,1.5,1.565624825e-05,5.53928741667e-05,1542852579.9,5.5,0.05,1542852572.85
5,1.5,2.193464e-05,1.70867618333e-05,1542852587.2,5.6,0.05,1542852579.91
6,1.5,7.15260108333e-06,1.36694112917e-05,1542852593.84,5.7,0.05,1542852587.2
7,1.5,6.11944541667e-06,1.23978275e-05,1542852600.86,5.8,0.05,1542852593.85
8,1.5,2.026569125e-05,1.46230983333e-05,1542852607.88,5.9,0.05,1542852600.87
9,1.5,6.43734345833e-06,8.10628008333e-06,1542852614.94,6.0,0.05,1542852607.88
0,1.5,6.11945075e-06,7.62943995833e-06,1542852621.85,6.1,0.05,1542852614.96
1,1.5,7.629442625e-06,3.25840570833e-06,1542852628.92,6.2,0.05,1542852621.85
2,1.5,5.32471004167e-06,1.66894145833e-06,1542852635.85,6.3,0.05,1542852628.93
3,1.5,6.75523433333e-06,4.688927125e-06,1542852643.27,6.4,0.05,1542852635.86
4,1.5,-3.17895583333e-07,-2.38420375e-07,1542852649.82,6.5,0.05,1542852643.28
5,1.5,7.86785858333e-06,3.73524845833e-06,1542852656.91,6.6,0.05,1542852649.83
6,1.5,3.25840416667e-06,-3.417355875e-06,1542852663.83,6.7,0.05,1542852656.92
7,1.5,-1.668940875e-06,3.73524733333e-06,1542852671.33,6.8,0.05,1542852663.83
8,1.5,-9.05995958333e-06,-1.0093108e-05,1542852677.92,6.9,0.05,1542852671.34
9,1.5,2.54314716667e-06,-4.053140625e-06,1542852685.31,7.0,0.05,1542852677.92
0,1.5,-4.92734354167e-06,-5.881031625e-06,1542852691.93,7.1,0.05,1542852685.32
1,1.5,-1.3987321875e-05,6.35785875e-06,1542852698.85,7.2,0.05,1542852691.94
2,1.5,-8.18574970833e-06,-9.53679708333e-07,1542852705.92,7.3,0.05,1542852698.86
3,1.5,-1.93120025417e-05,-3.17893833333e-07,1542852712.85,7.4,0.05,1542852705.93
4,1.5,-2.59082891667e-05,6.83470958333e-06,1542852720.28,7.5,0.05,1542852712.85
5,1.5,-6.23865925e-05,1.07288985e-05,1542852726.82,7.6,0.05,1542852720.29
6,1.5,-8.15396216667e-05,4.378978125e-05,1542852733.9,7.7,0.05,1542852726.83
7,1.5,-8.61490445833e-05,6.69960770833e-05,1542852740.83,7.8,0.05,1542852733.91
8,1.5,-9.354002125e-05,7.073131125e-05,1542852748.34,7.9,0.05,1542852740.84
9,1.5,-0.0001587082375,0.0001568008875,1542852754.92,8.0,0.05,1542852748.34
0,1.5,-8.074489e-05,0.000346185645833,1542852761.85,8.1,0.05,1542852754.93
1,1.5,0.0002065508875,0.0003949819625,1542852768.89,8.2,0.05,1542852761.87
2,1.5,0.000332834204167,0.000263851775,1542852775.86,8.3,0.05,1542852768.89
3,1.5,0.0002938130375,0.000146389941667,1542852782.94,8.4,0.05,1542852775.87
4,1.5,0.000285627333333,7.87580691667e-05,1542852789.86,8.5,0.05,1542852782.94
5,1.5,0.0002467648875,2.924618375e-05,1542852797.32,8.6,0.05,1542852789.86
6,1.5,0.000213067666667,5.56313245833e-06,1542852804.18,8.7,0.05,1542852797.33
7,1.5,0.000188669479167,-2.43983129167e-05,1542852811.35,8.8,0.05,1542852804.18
8,1.5,0.0001831064,-2.78951166667e-05,1542852817.86,8.9,0.05,1542852811.35
9,1.5,0.000180245383333,-5.88896979167e-05,1542852825.36,9.0,0.05,1542852817.86
0,1.5,0.0001715033875,-8.289066e-05,1542852831.87,9.1,0.05,1542852825.37
1,1.5,0.0001752386125,-0.000122071091667,1542852838.87,9.2,0.05,1542852831.88
2,1.5,0.000149489391667,-0.00019613995,1542852845.89,9.3,0.05,1542852838.87
3,1.5,8.034752875e-05,-0.000218948666667,1542852852.86,9.4,0.05,1542852845.89
4,1.5,9.139437125e-06,-0.0001845369,1542852859.8,9.5,0.05,1542852852.86
5,1.5,-1.64509758333e-05,-0.000142495770833,1542852866.85,9.6,0.05,1542852859.8
6,1.5,-3.61603866667e-05,-9.759313125e-05,1542852874.29,9.7,0.05,1542852866.86
7,1.5,-2.948460625e-05,-6.699608875e-05,1542852880.81,9.8,0.05,1542852874.3
8,1.5,-4.084928125e-05,-4.56176541667e-05,1542852888.31,9.9,0.05,1542852880.82
9,1.5,-4.09287520833e-05,-2.24909354167e-05,1542852894.84,10.0,0.05,1542852888.31
0,1.5,-8.066541875e-05,9.85469275e-06,1542852902.33,10.1,0.05,1542852894.85
1,1.5,-8.19369854167e-05,1.883518125e-05,1542852908.89,10.2,0.05,1542852902.34
2,1.5,-8.5910625e-05,3.18688175e-05,1542852915.85,10.3,0.05,1542852908.89
3,1.5,-7.724808625e-05,3.40146183333e-05,1542852922.88,10.4,0.05,1542852915.85
4,1.5,-9.34605495833e-05,3.83856258333e-05,1542852929.87,10.5,0.05,1542852922.88
5,1.5,-0.000106732504167,5.181653875e-05,1542852937.2,10.6,0.05,1542852929.88
6,1.5,-0.000117222970833,6.32608041667e-05,1542852943.87,10.7,0.05,1542852937.21
7,1.5,-0.000128508533333,8.07448916667e-05,1542852951.33,10.8,0.05,1542852943.88
8,1.5,-0.000139952641667,0.000108639845833,1542852957.84,10.9,0.05,1542852951.33
9,1.5,-0.000152111991667,0.000190179475,1542852964.91,11.0,0.05,1542852957.85
0,1.5,3.67961404167e-05,0.000370186433333,1542852971.81,11.1,0.05,1542852964.91
1,1.5,0.0002501824,0.0002588449625,1542852979.35,11.2,0.05,1542852971.82
2,1.5,0.000272593779167,0.000194153108333,1542852985.86,11.3,0.05,1542852979.36
3,1.5,0.00028912415,0.000163715045833,1542852992.87,11.4,0.05,1542852985.86
4,1.5,0.000300170841667,0.000132561666667,1542852999.89,11.5,0.05,1542852992.87
5,1.5,0.00030160135,9.82289191667e-05,1542853006.85,11.6,0.05,1542852999.89
6,1.5,0.000303826591667,8.32880229167e-05,1542853014.27,11.7,0.05,1542853006.87
7,1.5,0.000306210766667,6.65192504167e-05,1542853020.88,11.8,0.05,1542853014.28
8,1.5,0.000295958804167,5.18165391667e-05,1542853028.19,11.9,0.05,1542853020.89
9,1.5,0.000301124516667,3.98161358333e-05,1542853035.33,12.0,0.05,1542853028.2
0,1.5,0.000297707175,2.59082708333e-05,1542853042.3,12.1,0.05,1542853035.34
1,1.5,0.000297707179167,2.121936875e-05,1542853048.81,12.2,0.05,1542853042.3
2,1.5,0.000293018316667,1.35899405833e-05,1542853055.9,12.3,0.05,1542853048.82
3,1.5,0.000294210404167,3.17893333333e-07,1542853062.86,12.4,0.05,1542853055.9
4,1.5,0.000301362925,-1.25567733333e-05,1542853069.86,12.5,0.05,1542853062.87
5,1.5,0.000305177629167,-3.89419608333e-06,1542853076.89,12.6,0.05,1542853069.86
6,1.5,0.000311694395833,-1.796097e-05,1542853083.87,12.7,0.05,1542853076.89
7,1.5,0.000317416445833,-2.392146625e-05,1542853090.93,12.8,0.05,1542853083.87
8,1.5,0.000333231566667,-3.67166608333e-05,1542853097.84,12.9,0.05,1542853090.93
9,1.5,0.000326953216667,-4.331294125e-05,1542853105.35,13.0,0.05,1542853097.84
0,1.5,0.000370424845833,-5.22933729167e-05,1542853111.86,13.1,0.05,1542853105.36
1,1.5,0.000399829829167,-8.56722108333e-05,1542853119.31,13.2,0.05,1542853111.87
2,1.5,0.000435115783333,-0.000113010866667,1542853125.84,13.3,0.05,1542853119.31
3,1.5,0.0004887609625,-0.000170152333333,1542853133.34,13.4,0.05,1542853125.84
4,1.5,0.000490588695833,-0.000246685233333,1542853139.87,13.5,0.05,1542853133.35
5,1.5,0.000450454020833,-0.000310979141667,1542853146.87,13.6,0.05,1542853139.87
6,1.5,0.000426930079167,-0.000363113375,1542853153.89,13.7,0.05,1542853146.87
7,1.5,0.000402770320833,-0.000371616945833,1542853160.88,13.8,0.05,1542853153.89
8,1.5,0.0003937104,-0.000410240766667,1542853168.24,13.9,0.05,1542853160.88
9,1.5,0.000342291470833,-0.000458162895833,1542853174.85,14.0,0.05,1542853168.25
0,1.5,0.000230472241667,-0.000475488295833,1542853181.93,14.1,0.05,1542853174.86
1,1.5,0.0001226273625,-0.000459116558333,1542853188.87,14.2,0.05,1542853181.94
2,1.5,4.45845079167e-05,-0.00040563135,1542853196.29,14.3,0.05,1542853188.87
3,1.5,1.74841341667e-05,-0.0003527819,1542853202.86,14.4,0.05,1542853196.29
4,1.5,1.65304550417e-05,-0.0003066081375,1542853210.35,14.5,0.05,1542853202.86
5,1.5,4.22797933333e-05,-0.000283084204167,1542853216.86,14.6,0.05,1542853210.36
6,1.5,5.253184125e-05,-0.0002702095875,1542853223.86,14.7,0.05,1542853216.87
7,1.5,9.36194958333e-05,-0.000266553833333,1542853230.91,14.8,0.05,1542853223.86
8,1.5,9.21889833333e-05,-0.000266871725,1542853237.88,14.9,0.05,1542853230.91
9,1.5,0.000113805595833,-0.000286104175,1542853245.23,15.0,0.05,1542853237.88
0,1.5,0.000141701029167,-0.0002933361875,1542853251.87,15.1,0.05,1542853245.24
1,1.5,0.000139923964,-0.000346071212,1542853259.24,15.2,0.05,1542853251.88
2,1.5,0.0001067325125,-0.000334979975,1542853265.87,15.3,0.05,1542853259.25
3,1.5,0.000137727379167,-0.000399273504167,1542853273.31,15.4,0.05,1542853265.87
4,1.5,0.0002033719625,-0.0005005238125,1542853279.86,15.5,0.05,1542853273.32
5,1.5,0.000192484179167,-0.0005301671625,1542853287.41,15.6,0.05,1542853279.87
6,1.5,0.0001842984625,-0.0006084479,1542853293.88,15.7,0.05,1542853287.41
7,1.5,0.00013693265,-0.000654780625,1542853300.86,15.8,0.05,1542853293.88
8,1.5,8.53543166667e-05,-0.000702066970833,1542853307.9,15.9,0.05,1542853300.87
9,1.5,1.67688820833e-05,-0.000742995466667,1542853314.89,16.0,0.05,1542853307.9
0,1.5,-4.63329104167e-05,-0.000721060995833,1542853321.87,16.1,0.05,1542853314.9
1,1.5,-9.20300379167e-05,-0.000717325766667,1542853328.86,16.2,0.05,1542853321.87
2,1.5,-0.000124614220833,-0.000722412041667,1542853336.22,16.3,0.05,1542853328.86
3,1.5,-0.000173092841667,-0.000698649633333,1542853342.86,16.4,0.05,1542853336.22
4,1.5,-0.000241280991667,-0.000691338120833,1542853350.3,16.5,0.05,1542853342.87
5,1.5,-0.000313999120833,-0.000682437166667,1542853356.87,16.6,0.05,1542853350.31
6,1.5,-0.000376782670833,-0.000613454729167,1542853363.91,16.7,0.05,1542853356.88
7,1.5,-0.000444731970833,-0.0005196767875,1542853370.87,16.8,0.05,1542853363.91
8,1.5,-0.000499093283333,-0.0004245459,1542853377.84,16.9,0.05,1542853370.87
9,1.5,-0.000578566145833,-0.000314555433333,1542853384.91,17.0,0.05,1542853377.85
0,1.5,-0.000653826958333,-0.000184854795833,1542853392.2,17.1,0.05,1542853384.92
1,1.5,-0.000710570575,-8.09833120833e-05,1542853399.34,17.2,0.05,1542853392.21
2,1.5,-0.000719789429167,-7.470493625e-06,1542853405.85,17.3,0.05,1542853399.34
3,1.5,-0.000706040620833,3.78293158333e-05,1542853412.95,17.4,0.05,1542853405.86
4,1.5,-0.00069801385,6.969816625e-05,1542853419.86,17.5,0.05,1542853412.96
5,1.5,-0.0006665839,8.9340674e-05,1542853427.32,17.6,0.05,1542853419.86
6,1.5,-0.000651124883333,0.0001145208375,1542853433.87,17.7,0.05,1542853427.32
7,1.5,-0.000634832929167,0.00013462795,1542853440.9,17.8,0.05,1542853433.87
8,1.5,-0.000614964708333,0.000143608383333,1542853447.84,17.9,0.05,1542853440.91
9,1.5,-0.000598990645833,0.000152906729167,1542853455.18,18.0,0.05,1542853447.84
0,1.5,-0.00057975825,0.0001518735875,1542853462.23,18.1,0.05,1542853455.19
1,1.5,-0.0005559958625,0.000153780925,1542853468.87,18.2,0.05,1542853462.23
2,1.5,-0.000544074908333,0.000151476208333,1542853475.89,18.3,0.05,1542853468.88
3,1.5,-0.0005341408,0.000155847208333,1542853482.85,18.4,0.05,1542853475.89
4,1.5,-0.000515862075,0.000160615591667,1542853489.8,18.5,0.05,1542853482.86
5,1.5,-0.000498378020833,0.000169198675,1542853496.88,18.6,0.05,1542853489.8
6,1.5,-0.000478905333333,0.0001739670375,1542853504.3,18.7,0.05,1542853496.89
7,1.5,-0.00045975235,0.0001773049125,1542853510.87,18.8,0.05,1542853504.31
8,1.5,-0.000426214829167,0.000177543320833,1542853518.33,18.9,0.05,1542853510.87
9,1.5,-0.000394584608333,0.000163158720833,1542853524.89,19.0,0.05,1542853518.33
0,1.5,-0.0003569939875,0.000124296454167,1542853532.34,19.1,0.05,1542853524.89
1,1.5,-0.000343404075,7.86785975e-05,1542853539.21,19.2,0.05,1542853532.35
2,1.5,-0.000364305458333,4.27566291667e-05,1542853545.86,19.3,0.05,1542853539.22
3,1.5,-0.000387511520833,3.84651e-05,1542853552.88,19.4,0.05,1542853545.86
4,1.5,-0.000417949629167,4.83197333333e-05,1542853559.85,19.5,0.05,1542853552.88
5,1.5,-0.000430824258333,6.43734825e-05,1542853566.93,19.6,0.05,1542853559.86
6,1.5,-0.0004440167125,7.748650375e-05,1542853573.85,19.7,0.05,1542853566.94
7,1.5,-0.000446003520833,8.91690125e-05,1542853581.28,19.8,0.05,1542853573.86
8,1.5,-0.0004573681625,0.000103950941667,1542853587.87,19.9,0.05,1542853581.28
9,1.5,-0.000446559833333,0.000117143470833,1542853595.38,20.0,0.05,1542853587.87
0,1.5,-0.000446321433333,0.0001312106125,1542853601.81,20.1,0.05,1542853595.38
1,1.5,-0.000439963583333,0.0001417805,1542853609.34,20.2,0.05,1542853601.82
2,1.5,-0.000422161720833,0.0001562445875,1542853615.89,20.3,0.05,1542853609.35
3,1.5,-0.000413181258333,0.0001684834125,1542853622.86,20.4,0.05,1542853615.89
4,1.5,-0.000406267129167,0.0001750796625,1542853629.89,20.5,0.05,1542853622.86
5,1.5,-0.000397763529167,0.000186523720833,1542853636.86,20.6,0.05,1542853629.9
6,1.5,-0.000388385720833,0.000187874754167,1542853643.93,20.7,0.05,1542853636.87
7,1.5,-0.000383617341667,0.000195027308333,1542853650.87,20.8,0.05,1542853643.94
8,1.5,-0.000371537466667,0.0002028156625,1542853658.33,20.9,0.05,1542853650.87
9,1.5,-0.000365259125,0.000216564479167,1542853664.87,21.0,0.05,1542853658.33
0,1.5,-0.0003425299,0.00023746585,1542853671.86,21.1,0.05,1542853664.88
1,1.5,-0.000326078983333,0.000247798179167,1542853678.84,21.2,0.05,1542853671.86
2,1.5,-0.000319641691667,0.000241757566667,1542853686.35,21.3,0.05,1542853678.85
3,1.5,-0.00030303185,0.000244778075,1542853692.87,21.4,0.05,1542853686.36
4,1.5,-0.00030303185,0.000236512179167,1542853699.85,21.5,0.05,1542853692.88
5,1.5,-0.000317098566667,0.000231664320833,1542853706.89,21.6,0.05,1542853699.86
6,1.5,-0.000294607745833,0.0002284059375,1542853713.87,21.7,0.05,1542853706.9
7,1.5,-0.000277600570833,0.000224988604167,1542853721.2,21.8,0.05,1542853713.88
8,1.5,-0.00027148115,0.000225385958333,1542853727.87,21.9,0.05,1542853721.22
9,1.5,-0.000275693229167,0.0002132266125,1542853735.3,22.0,0.05,1542853727.88
0,1.5,-0.000277044258333,0.000201703033333,1542853741.84,22.1,0.05,1542853735.31
1,1.5,-0.00027704425,0.000197808870833,1542853748.84,22.2,0.05,1542853741.85
2,1.5,-0.000279507925,0.0001858879375,1542853756.2,22.3,0.05,1542853748.84
3,1.5,-0.000322900079167,0.000166576058333,1542853762.91,22.4,0.05,1542853756.21
4,1.5,-0.000332516295833,0.000161251379167,1542853769.82,22.5,0.05,1542853762.92
5,1.5,-0.00033792045,0.000169039725,1542853776.86,22.6,0.05,1542853769.83
6,1.5,-0.0003140785875,0.0001951067875,1542853783.89,22.7,0.05,1542853776.86
7,1.5,-0.000315588579167,0.000195265720833,1542853790.86,22.8,0.05,1542853783.89
8,1.5,-0.0003630339,0.000199477795833,1542853798.2,22.9,0.05,1542853790.87
9,1.5,-0.000356835025,0.000204405125,1542853804.87,23.0,0.05,1542853798.21
0,1.5,-0.000375034279167,0.0002121139875,1542853812.28,23.1,0.05,1542853804.87
1,1.5,-0.000404200829167,0.000236989025,1542853818.83,23.2,0.05,1542853812.29
2,1.5,-0.000419062270833,0.000274819020833,1542853826.3,23.3,0.05,1542853818.84
3,1.5,-0.000432413708333,0.000308118120833,1542853832.88,23.4,0.05,1542853826.31
4,1.5,-0.000424069054167,0.000341973595833,1542853840.35,23.5,0.05,1542853832.89
5,1.5,-0.0004205722625,0.000374954775,1542853846.84,23.6,0.05,1542853840.36
6,1.5,-0.000426103564,0.00040283388,1542853853.88,23.7,0.05,1542853846.85
7,1.5,-0.00042232065,0.000416598604167,1542853860.88,23.8,0.05,1542853853.89
8,1.5,-0.000424625358333,0.000429234804167,1542853867.87,23.9,0.05,1542853860.89
9,1.5,-0.0004088897125,0.0004384536125,1542853875.23,24.0,0.05,1542853867.87
0,1.5,-0.0003941872375,0.000440599383333,1542853881.88,24.1,0.05,1542853875.24
1,1.5,-0.000398240354167,0.000434003145833,1542853889.3,24.2,0.05,1542853881.89
2,1.5,-0.000366928045833,0.000400386129167,1542853895.82,24.3,0.05,1542853889.3
3,1.5,-0.00025828835,0.000277600320833,1542853903.3,24.4,0.05,1542853895.83
4,1.5,-0.000268938029167,0.000302793466667,1542853909.82,24.5,0.05,1542853903.3
5,1.5,-0.000312886491667,0.0003960946,1542853916.91,24.6,0.05,1542853909.83
6,1.5,-0.000316383316667,0.000431698466667,1542853923.85,24.7,0.05,1542853916.91
7,1.5,-0.0003313242125,0.000462613375,1542853930.85,24.8,0.05,1542853923.85
8,1.5,-0.000335615745833,0.000483833270833,1542853937.88,24.9,0.05,1542853930.86
9,1.5,-0.000354927675,0.000504417979167,1542853944.87,25.0,0.05,1542853937.88
0,1.5,-0.000388544666667,0.000530802929167,1542853952.21,25.1,0.05,1542853944.87
1,1.5,-0.000383935241667,0.000518246241667,1542853958.89,25.2,0.05,1542853952.21
2,1.5,-0.000349920870833,0.0004369442,1542853966.24,25.3,0.05,1542853958.89
3,1.5,-0.000299932420833,0.000442665691667,1542853972.84,25.4,0.05,1542853966.25
4,1.5,-0.000347902252,0.000503085172,1542853980.31,25.5,0.05,1542853972.85
5,1.5,-0.000337046270833,0.000528418754167,1542853987.42,25.6,0.05,1542853980.31
6,1.5,-0.000350795079167,0.0005680757375,1542853993.91,25.7,0.05,1542853987.43
7,1.5,-0.000361206025,0.000595255445833,1542854000.86,25.8,0.05,1542853993.91
8,1.5,-0.0003760674125,0.000621560958333,1542854007.86,25.9,0.05,1542854000.87
9,1.5,-0.000382107345833,0.0006339587375,1542854014.89,26.0,0.05,1542854007.87
0,1.5,-0.000396174054167,0.000651124875,1542854021.88,26.1,0.05,1542854014.89
1,1.5,-0.000397207220833,0.000661297383333,1542854029.27,26.2,0.05,1542854021.88
2,1.5,-0.0004069029,0.000714623691667,1542854035.88,26.3,0.05,1542854029.28
